Period,Borough/Census Area FIPS,Age,In_Total,In_Male,In_Female,Out_Total,Out_Male,Out_Female,Data from: https://live.laborstats.alaska.gov/pop/migration/PFDMigrationByAgeBySexBCA.xls via https://live.laborstats.alaska.gov/pop/migration.html February 2023.
1995 to 2000,016,50-54,27,16,11,36,22,14,
1995 to 2000,016,55-59,19,11,8,22,12,10,
1995 to 2000,016,60-64,9,5,4,14,10,4,
1995 to 2000,016,65-69,2,1,1,6,3,3,
1995 to 2000,016,70-74,1,1,0,0,0,0,
1995 to 2000,016,75-79,0,0,0,0,0,0,
1995 to 2000,016,80-84,0,0,0,0,0,0,
1995 to 2000,016,85-89,0,0,0,1,1,0,
1995 to 2000,016,90+,0,0,0,0,0,0,
1995 to 2000,020,Total,24486,12948,11538,25958,13734,12224,
1995 to 2000,020,0-4,2532,1323,1209,2616,1333,1283,
1995 to 2000,020,5-9,2187,1114,1073,2356,1212,1144,
1995 to 2000,020,10-14,1749,894,855,1889,953,936,
1995 to 2000,020,15-19,1543,784,759,1775,920,855,
1995 to 2000,020,20-24,2631,1341,1290,2620,1358,1262,
1995 to 2000,020,25-29,3251,1729,1522,2904,1541,1363,
1995 to 2000,020,30-34,2774,1518,1256,2737,1475,1262,
1995 to 2000,020,35-39,2417,1339,1078,2597,1437,1160,
1995 to 2000,020,40-44,1856,1033,823,2001,1105,896,
1995 to 2000,020,45-49,1303,723,580,1488,818,670,
1995 to 2000,020,50-54,837,461,376,1100,587,513,
1995 to 2000,020,55-59,509,270,239,752,409,343,
1995 to 2000,020,60-64,317,168,149,489,276,213,
1995 to 2000,020,65-69,216,108,108,276,140,136,
1995 to 2000,020,70-74,136,61,75,153,80,73,
1995 to 2000,020,75-79,98,40,58,101,47,54,
1995 to 2000,020,80-84,67,23,44,50,21,29,
1995 to 2000,020,85-89,40,12,28,35,16,19,
1995 to 2000,020,90+,23,7,16,19,6,13,
1995 to 2000,050,Total,951,525,426,1118,598,520,
1995 to 2000,050,0-4,114,56,58,123,59,64,
1995 to 2000,050,5-9,90,46,44,119,60,59,
1995 to 2000,050,10-14,72,38,34,96,51,45,
1995 to 2000,050,15-19,63,33,30,93,49,44,
1995 to 2000,050,20-24,81,44,37,102,54,48,
1995 to 2000,050,25-29,104,59,45,118,64,54,
1995 to 2000,050,30-34,103,63,40,102,58,44,
1995 to 2000,050,35-39,94,54,40,94,51,43,
1995 to 2000,050,40-44,70,42,28,80,45,35,
1995 to 2000,050,45-49,58,32,26,66,36,30,
1995 to 2000,050,50-54,43,26,17,50,30,20,
1995 to 2000,050,55-59,24,13,11,33,18,15,
1995 to 2000,050,60-64,15,8,7,18,9,9,
1995 to 2000,050,65-69,7,5,2,10,8,2,
1995 to 2000,050,70-74,4,2,2,6,3,3,
1995 to 2000,050,75-79,6,2,4,3,1,2,
1995 to 2000,050,80-84,2,1,1,2,1,1,
1995 to 2000,050,85-89,1,1,0,2,1,1,
1995 to 2000,050,90+,0,0,0,1,0,1,
1995 to 2000,060,Total,171,96,75,177,95,82,
1995 to 2000,060,0-4,19,10,9,15,6,9,
1995 to 2000,060,5-9,14,7,7,17,9,8,
1995 to 2000,060,10-14,16,9,7,14,6,8,
1995 to 2000,060,15-19,9,5,4,15,9,6,
1995 to 2000,060,20-24,10,5,5,14,6,8,
1995 to 2000,060,25-29,19,10,9,14,8,6,
1995 to 2000,060,30-34,16,8,8,17,9,8,
1995 to 2000,060,35-39,23,13,10,19,10,9,
1995 to 2000,060,40-44,15,10,5,15,9,6,
1995 to 2000,060,45-49,13,8,5,15,9,6,
1995 to 2000,060,50-54,8,5,3,10,6,4,
1995 to 2000,060,55-59,6,4,2,6,4,2,
1995 to 2000,060,60-64,2,1,1,3,2,1,
1995 to 2000,060,65-69,1,1,0,2,1,1,
1995 to 2000,060,70-74,0,0,0,1,1,0,
1995 to 2000,060,75-79,0,0,0,0,0,0,
1995 to 2000,060,80-84,0,0,0,0,0,0,
1995 to 2000,060,85-89,0,0,0,0,0,0,
1995 to 2000,060,90+,0,0,0,0,0,0,
1995 to 2000,063,Total,837,466,371,991,543,448,
1995 to 2000,063,0-4,67,35,32,78,39,39,
1995 to 2000,063,5-9,64,34,30,74,38,36,
1995 to 2000,063,10-14,57,32,25,68,34,34,
1995 to 2000,063,15-19,44,23,21,74,38,36,
1995 to 2000,063,20-24,77,43,34,99,55,44,
1995 to 2000,063,25-29,90,50,40,94,50,44,
1995 to 2000,063,30-34,96,50,46,77,44,33,
1995 to 2000,063,35-39,89,51,38,102,56,46,
1995 to 2000,063,40-44,83,47,36,92,53,39,
1995 to 2000,063,45-49,63,38,25,86,48,38,
1995 to 2000,063,50-54,47,28,19,63,38,25,
1995 to 2000,063,55-59,28,17,11,42,25,17,
1995 to 2000,063,60-64,14,9,5,21,14,7,
1995 to 2000,063,65-69,7,4,3,12,7,5,
1995 to 2000,063,70-74,4,2,2,3,2,1,
1995 to 2000,063,75-79,3,1,2,2,1,1,
1995 to 2000,063,80-84,1,0,1,2,0,2,
1995 to 2000,063,85-89,2,1,1,1,1,0,
1995 to 2000,063,90+,1,1,0,1,0,1,
1995 to 2000,066,Total,475,267,208,457,249,208,
1995 to 2000,066,0-4,40,23,17,39,21,18,
1995 to 2000,066,5-9,42,22,20,36,18,18,
1995 to 2000,066,10-14,42,21,21,32,15,17,
1995 to 2000,066,15-19,37,22,15,41,22,19,
1995 to 2000,066,20-24,31,16,15,48,24,24,
1995 to 2000,066,25-29,39,20,19,34,17,17,
1995 to 2000,066,30-34,43,22,21,38,21,17,
1995 to 2000,066,35-39,41,25,16,36,21,15,
1995 to 2000,066,40-44,44,25,19,35,18,17,
1995 to 2000,066,45-49,39,24,15,35,20,15,
1995 to 2000,066,50-54,30,20,10,26,17,9,
1995 to 2000,066,55-59,20,11,9,20,13,7,
1995 to 2000,066,60-64,12,8,4,13,7,6,
1995 to 2000,066,65-69,7,4,3,10,6,4,
1995 to 2000,066,70-74,4,2,2,6,4,2,
1995 to 2000,066,75-79,3,2,1,6,4,2,
1995 to 2000,066,80-84,0,0,0,1,0,1,
1995 to 2000,066,85-89,0,0,0,0,0,0,
1995 to 2000,066,90+,1,0,1,1,1,0,
1995 to 2000,068,Total,233,129,104,244,135,109,
1995 to 2000,068,0-4,12,4,8,14,4,10,
1995 to 2000,068,5-9,14,9,5,17,11,6,
1995 to 2000,068,10-14,19,11,8,16,10,6,
1995 to 2000,068,15-19,12,5,7,20,9,11,
1995 to 2000,068,20-24,15,7,8,24,13,11,
1995 to 2000,068,25-29,28,14,14,20,10,10,
1995 to 2000,068,30-34,26,15,11,22,11,11,
1995 to 2000,068,35-39,29,16,13,24,14,10,
1995 to 2000,068,40-44,26,16,10,26,14,12,
1995 to 2000,068,45-49,21,11,10,22,13,9,
1995 to 2000,068,50-54,13,8,5,14,9,5,
1995 to 2000,068,55-59,10,7,3,11,7,4,
1995 to 2000,068,60-64,4,3,1,6,5,1,
1995 to 2000,068,65-69,3,2,1,4,3,1,
1995 to 2000,068,70-74,0,0,0,2,1,1,
1995 to 2000,068,75-79,1,1,0,2,1,1,
1995 to 2000,068,80-84,0,0,0,0,0,0,
1995 to 2000,068,85-89,0,0,0,0,0,0,
1995 to 2000,068,90+,0,0,0,0,0,0,
1995 to 2000,070,Total,379,205,174,362,196,166,
1995 to 2000,070,0-4,35,16,19,36,18,18,
1995 to 2000,070,5-9,34,19,15,34,17,17,
1995 to 2000,070,10-14,31,15,16,31,17,14,
1995 to 2000,070,15-19,23,12,11,26,13,13,
1995 to 2000,070,20-24,29,15,14,33,17,16,
1995 to 2000,070,25-29,43,23,20,35,18,17,
1995 to 2000,070,30-34,40,23,17,37,21,16,
1995 to 2000,070,35-39,39,23,16,34,21,13,
1995 to 2000,070,40-44,34,21,13,33,19,14,
1995 to 2000,070,45-49,29,15,14,24,14,10,
1995 to 2000,070,50-54,20,11,9,15,8,7,
1995 to 2000,070,55-59,12,7,5,9,5,4,
1995 to 2000,070,60-64,5,3,2,7,4,3,
1995 to 2000,070,65-69,2,1,1,3,2,1,
1995 to 2000,070,70-74,2,1,1,2,1,1,
1995 to 2000,070,75-79,0,0,0,1,0,1,
1995 to 2000,070,80-84,1,0,1,2,1,1,
1995 to 2000,070,85-89,0,0,0,0,0,0,
1995 to 2000,070,90+,0,0,0,0,0,0,
1995 to 2000,090,Total,9251,4870,4381,10083,5234,4849,
1995 to 2000,090,0-4,1147,594,553,1187,607,580,
1995 to 2000,090,5-9,933,479,454,1016,515,501,
1995 to 2000,090,10-14,715,379,336,785,410,375,
1995 to 2000,090,15-19,525,274,251,680,360,320,
1995 to 2000,090,20-24,1129,572,557,1117,555,562,
1995 to 2000,090,25-29,1298,688,610,1275,658,617,
1995 to 2000,090,30-34,1054,555,499,1095,560,535,
1995 to 2000,090,35-39,873,470,403,944,501,443,
1995 to 2000,090,40-44,564,314,250,641,342,299,
1995 to 2000,090,45-49,381,208,173,467,252,215,
1995 to 2000,090,50-54,245,139,106,325,174,151,
1995 to 2000,090,55-59,147,82,65,223,122,101,
1995 to 2000,090,60-64,83,49,34,145,81,64,
1995 to 2000,090,65-69,56,28,28,79,44,35,
1995 to 2000,090,70-74,37,17,20,43,23,20,
1995 to 2000,090,75-79,25,11,14,34,19,15,
1995 to 2000,090,80-84,22,7,15,12,5,7,
1995 to 2000,090,85-89,12,3,9,7,2,5,
1995 to 2000,090,90+,5,1,4,8,4,4,
1995 to 2000,100,Total,277,150,127,263,137,126,
1995 to 2000,100,0-4,17,8,9,20,11,9,
1995 to 2000,100,5-9,19,11,8,13,5,8,
1995 to 2000,100,10-14,23,11,12,16,8,8,
1995 to 2000,100,15-19,18,10,8,30,14,16,
1995 to 2000,100,20-24,26,14,12,35,19,16,
1995 to 2000,100,25-29,26,14,12,21,12,9,
1995 to 2000,100,30-34,30,17,13,22,11,11,
1995 to 2000,100,35-39,26,15,11,22,14,8,
1995 to 2000,100,40-44,25,14,11,23,11,12,
1995 to 2000,100,45-49,23,13,10,21,12,9,
1995 to 2000,100,50-54,18,9,9,13,7,6,
1995 to 2000,100,55-59,8,4,4,9,5,4,
1995 to 2000,100,60-64,5,2,3,4,2,2,
1995 to 2000,100,65-69,5,3,2,4,2,2,
1995 to 2000,100,70-74,4,3,1,5,3,2,
1995 to 2000,100,75-79,2,1,1,1,0,1,
1995 to 2000,100,80-84,2,1,1,3,1,2,
1995 to 2000,100,85-89,0,0,0,1,0,1,
1995 to 2000,100,90+,0,0,0,0,0,0,
1995 to 2000,105,Total,300,172,128,381,201,180,
1995 to 2000,105,0-4,20,13,7,27,12,15,
1995 to 2000,105,5-9,23,11,12,28,13,15,
1995 to 2000,105,10-14,22,12,10,29,16,13,
1995 to 2000,105,15-19,23,13,10,44,19,25,
1995 to 2000,105,20-24,23,10,13,46,22,24,
1995 to 2000,105,25-29,30,17,13,28,16,12,
1995 to 2000,105,30-34,28,16,12,28,18,10,
1995 to 2000,105,35-39,30,19,11,42,24,18,
1995 to 2000,105,40-44,26,15,11,31,18,13,
1995 to 2000,105,45-49,28,17,11,25,12,13,
1995 to 2000,105,50-54,19,11,8,26,16,10,
1995 to 2000,105,55-59,13,9,4,13,7,6,
1995 to 2000,105,60-64,6,4,2,6,3,3,
1995 to 2000,105,65-69,3,2,1,4,3,1,
1995 to 2000,105,70-74,2,1,1,1,1,0,
1995 to 2000,105,75-79,2,1,1,1,0,1,
1995 to 2000,105,80-84,2,1,1,0,0,0,
1995 to 2000,105,85-89,0,0,0,1,1,0,
1995 to 2000,105,90+,0,0,0,1,0,1,
1995 to 2000,110,Total,2829,1491,1338,2722,1437,1285,
1995 to 2000,110,0-4,228,110,118,200,97,103,
1995 to 2000,110,5-9,215,109,106,192,97,95,
1995 to 2000,110,10-14,191,102,89,188,100,88,
1995 to 2000,110,15-19,193,95,98,216,106,110,
1995 to 2000,110,20-24,306,159,147,315,169,146,
1995 to 2000,110,25-29,361,192,169,276,147,129,
1995 to 2000,110,30-34,304,167,137,245,139,106,
1995 to 2000,110,35-39,306,172,134,253,141,112,
1995 to 2000,110,40-44,229,125,104,230,123,107,
1995 to 2000,110,45-49,184,103,81,193,97,96,
1995 to 2000,110,50-54,131,68,63,157,83,74,
1995 to 2000,110,55-59,78,44,34,118,65,53,
1995 to 2000,110,60-64,37,22,15,60,34,26,
1995 to 2000,110,65-69,21,10,11,29,16,13,
1995 to 2000,110,70-74,15,5,10,14,8,6,
1995 to 2000,110,75-79,13,4,9,17,8,9,
1995 to 2000,110,80-84,9,2,7,12,3,9,
1995 to 2000,110,85-89,6,2,4,3,2,1,
1995 to 2000,110,90+,2,0,2,4,2,2,
1995 to 2000,122,Total,4615,2500,2115,4240,2311,1929,
1995 to 2000,122,0-4,389,204,185,357,186,171,
1995 to 2000,122,5-9,388,199,189,302,154,148,
1995 to 2000,122,10-14,362,185,177,293,146,147,
1995 to 2000,122,15-19,297,161,136,406,207,199,
1995 to 2000,122,20-24,404,219,185,572,318,254,
1995 to 2000,122,25-29,471,258,213,405,235,170,
1995 to 2000,122,30-34,436,245,191,334,188,146,
1995 to 2000,122,35-39,448,245,203,365,207,158,
1995 to 2000,122,40-44,410,231,179,352,196,156,
1995 to 2000,122,45-49,320,183,137,297,172,125,
1995 to 2000,122,50-54,238,129,109,210,114,96,
1995 to 2000,122,55-59,167,95,72,138,79,59,
1995 to 2000,122,60-64,108,59,49,91,51,40,
1995 to 2000,122,65-69,71,40,31,51,28,23,
1995 to 2000,122,70-74,45,25,20,29,12,17,
1995 to 2000,122,75-79,29,12,17,21,11,10,
1995 to 2000,122,80-84,20,7,13,8,2,6,
1995 to 2000,122,85-89,7,2,5,5,4,1,
1995 to 2000,122,90+,5,1,4,4,1,3,
1995 to 2000,130,Total,1401,749,652,1673,919,754,
1995 to 2000,130,0-4,130,60,70,138,75,63,
1995 to 2000,130,5-9,120,62,58,132,68,64,
1995 to 2000,130,10-14,98,46,52,118,63,55,
1995 to 2000,130,15-19,91,45,46,140,69,71,
1995 to 2000,130,20-24,133,72,61,177,98,79,
1995 to 2000,130,25-29,155,84,71,160,88,72,
1995 to 2000,130,30-34,155,86,69,150,87,63,
1995 to 2000,130,35-39,149,83,66,165,92,73,
1995 to 2000,130,40-44,124,69,55,138,76,62,
1995 to 2000,130,45-49,91,54,37,117,66,51,
1995 to 2000,130,50-54,64,38,26,86,50,36,
1995 to 2000,130,55-59,37,23,14,67,39,28,
1995 to 2000,130,60-64,21,13,8,37,24,13,
1995 to 2000,130,65-69,10,5,5,18,11,7,
1995 to 2000,130,70-74,9,4,5,14,6,8,
1995 to 2000,130,75-79,6,2,4,4,2,2,
1995 to 2000,130,80-84,5,2,3,5,2,3,
1995 to 2000,130,85-89,2,0,2,4,2,2,
1995 to 2000,130,90+,1,1,0,3,1,2,
1995 to 2000,150,Total,1631,887,744,2047,1116,931,
1995 to 2000,150,0-4,189,96,93,216,114,102,
1995 to 2000,150,5-9,159,81,78,198,100,98,
1995 to 2000,150,10-14,135,66,69,172,82,90,
1995 to 2000,150,15-19,97,54,43,154,80,74,
1995 to 2000,150,20-24,135,68,67,184,97,87,
1995 to 2000,150,25-29,177,94,83,181,96,85,
1995 to 2000,150,30-34,207,120,87,226,126,100,
1995 to 2000,150,35-39,202,116,86,253,150,103,
1995 to 2000,150,40-44,126,75,51,160,96,64,
1995 to 2000,150,45-49,78,47,31,112,69,43,
1995 to 2000,150,50-54,49,27,22,74,42,32,
1995 to 2000,150,55-59,35,19,16,42,24,18,
1995 to 2000,150,60-64,15,10,5,29,15,14,
1995 to 2000,150,65-69,12,7,5,15,9,6,
1995 to 2000,150,70-74,7,3,4,13,8,5,
1995 to 2000,150,75-79,4,1,3,9,4,5,
1995 to 2000,150,80-84,3,2,1,7,3,4,
1995 to 2000,150,85-89,1,1,0,2,1,1,
1995 to 2000,150,90+,0,0,0,0,0,0,
1995 to 2000,158,Total,357,193,164,452,235,217,
1995 to 2000,158,0-4,61,33,28,60,28,32,
1995 to 2000,158,5-9,42,20,22,55,26,29,
1995 to 2000,158,10-14,26,14,12,34,20,14,
1995 to 2000,158,15-19,23,10,13,36,13,23,
1995 to 2000,158,20-24,36,17,19,57,27,30,
1995 to 2000,158,25-29,44,23,21,50,25,25,
1995 to 2000,158,30-34,37,24,13,42,26,16,
1995 to 2000,158,35-39,25,14,11,35,20,15,
1995 to 2000,158,40-44,22,13,9,22,14,8,
1995 to 2000,158,45-49,14,9,5,17,9,8,
1995 to 2000,158,50-54,10,5,5,16,9,7,
1995 to 2000,158,55-59,8,5,3,9,7,2,
1995 to 2000,158,60-64,5,3,2,10,5,5,
1995 to 2000,158,65-69,2,1,1,4,2,2,
1995 to 2000,158,70-74,1,1,0,1,1,0,
1995 to 2000,158,75-79,1,1,0,2,1,1,
1995 to 2000,158,80-84,0,0,0,1,1,0,
1995 to 2000,158,85-89,0,0,0,1,0,1,
1995 to 2000,158,90+,0,0,0,0,1,-1,
1995 to 2000,164,Total,204,111,93,224,113,111,
1995 to 2000,164,0-4,24,15,9,29,13,16,
1995 to 2000,164,5-9,19,8,11,23,10,13,
1995 to 2000,164,10-14,15,7,8,18,8,10,
1995 to 2000,164,15-19,14,7,7,19,9,10,
1995 to 2000,164,20-24,18,9,9,20,9,11,
1995 to 2000,164,25-29,19,11,8,19,10,9,
1995 to 2000,164,30-34,18,10,8,20,11,9,
1995 to 2000,164,35-39,22,13,9,19,10,9,
1995 to 2000,164,40-44,17,9,8,22,14,8,
1995 to 2000,164,45-49,14,7,7,14,7,7,
1995 to 2000,164,50-54,11,7,4,9,6,3,
1995 to 2000,164,55-59,6,4,2,4,2,2,
1995 to 2000,164,60-64,3,3,0,4,3,1,
1995 to 2000,164,65-69,2,1,1,2,1,1,
1995 to 2000,164,70-74,1,0,1,0,0,0,
1995 to 2000,164,75-79,0,0,0,1,0,1,
1995 to 2000,164,80-84,1,0,1,1,0,1,
1995 to 2000,164,85-89,0,0,0,0,0,0,
1995 to 2000,164,90+,0,0,0,0,0,0,
1995 to 2000,170,Total,6495,3480,3015,4772,2575,2197,
1995 to 2000,170,0-4,669,326,343,399,213,186,
1995 to 2000,170,5-9,623,318,305,380,203,177,
1995 to 2000,170,10-14,565,296,269,372,183,189,
1995 to 2000,170,15-19,455,258,197,484,255,229,
1995 to 2000,170,20-24,506,259,247,628,331,297,
1995 to 2000,170,25-29,633,340,293,417,228,189,
1995 to 2000,170,30-34,644,351,293,378,212,166,
1995 to 2000,170,35-39,665,372,293,415,231,184,
1995 to 2000,170,40-44,552,316,236,394,223,171,
1995 to 2000,170,45-49,394,216,178,311,170,141,
1995 to 2000,170,50-54,269,152,117,217,118,99,
1995 to 2000,170,55-59,178,104,74,135,79,56,
1995 to 2000,170,60-64,133,71,62,91,50,41,
1995 to 2000,170,65-69,97,51,46,61,34,27,
1995 to 2000,170,70-74,48,24,24,40,20,20,
1995 to 2000,170,75-79,31,14,17,25,14,11,
1995 to 2000,170,80-84,20,8,12,16,8,8,
1995 to 2000,170,85-89,8,3,5,5,1,4,
1995 to 2000,170,90+,5,1,4,4,2,2,
1995 to 2000,180,Total,645,356,289,724,384,340,
1995 to 2000,180,0-4,73,37,36,75,39,36,
1995 to 2000,180,5-9,52,25,27,65,32,33,
1995 to 2000,180,10-14,50,27,23,54,28,26,
1995 to 2000,180,15-19,42,21,21,60,30,30,
1995 to 2000,180,20-24,59,32,27,80,39,41,
1995 to 2000,180,25-29,77,42,35,68,38,30,
1995 to 2000,180,30-34,58,34,24,60,35,25,
1995 to 2000,180,35-39,64,40,24,67,36,31,
1995 to 2000,180,40-44,54,30,24,58,32,26,
1995 to 2000,180,45-49,44,27,17,52,28,24,
1995 to 2000,180,50-54,29,16,13,33,20,13,
1995 to 2000,180,55-59,20,11,9,23,11,12,
1995 to 2000,180,60-64,8,5,3,12,8,4,
1995 to 2000,180,65-69,4,3,1,7,4,3,
1995 to 2000,180,70-74,4,2,2,3,1,2,
1995 to 2000,180,75-79,3,2,1,4,2,2,
1995 to 2000,180,80-84,2,1,1,1,0,1,
1995 to 2000,180,85-89,2,1,1,2,1,1,
1995 to 2000,180,90+,0,0,0,0,0,0,
1995 to 2000,185,Total,671,376,295,697,373,324,
1995 to 2000,185,0-4,65,35,30,59,30,29,
1995 to 2000,185,5-9,62,31,31,65,31,34,
1995 to 2000,185,10-14,47,24,23,54,25,29,
1995 to 2000,185,15-19,45,24,21,48,26,22,
1995 to 2000,185,20-24,60,36,24,61,32,29,
1995 to 2000,185,25-29,72,42,30,64,36,28,
1995 to 2000,185,30-34,72,45,27,75,45,30,
1995 to 2000,185,35-39,66,36,30,64,35,29,
1995 to 2000,185,40-44,62,37,25,59,37,22,
1995 to 2000,185,45-49,45,28,17,49,29,20,
1995 to 2000,185,50-54,35,19,16,40,20,20,
1995 to 2000,185,55-59,21,10,11,31,13,18,
1995 to 2000,185,60-64,10,5,5,14,8,6,
1995 to 2000,185,65-69,3,2,1,8,4,4,
1995 to 2000,185,70-74,2,1,1,2,1,1,
1995 to 2000,185,75-79,2,1,1,2,1,1,
1995 to 2000,185,80-84,1,0,1,1,0,1,
1995 to 2000,185,85-89,1,0,1,1,0,1,
1995 to 2000,185,90+,0,0,0,0,0,0,
1995 to 2000,188,Total,501,280,221,518,288,230,
1995 to 2000,188,0-4,58,31,27,54,26,28,
1995 to 2000,188,5-9,46,23,23,53,27,26,
1995 to 2000,188,10-14,40,23,17,39,22,17,
1995 to 2000,188,15-19,35,16,19,47,26,21,
1995 to 2000,188,20-24,47,27,20,53,30,23,
1995 to 2000,188,25-29,47,26,21,50,27,23,
1995 to 2000,188,30-34,54,35,19,50,31,19,
1995 to 2000,188,35-39,52,28,24,46,27,19,
1995 to 2000,188,40-44,39,24,15,38,22,16,
1995 to 2000,188,45-49,32,19,13,31,20,11,
1995 to 2000,188,50-54,26,15,11,21,11,10,
1995 to 2000,188,55-59,14,7,7,16,9,7,
1995 to 2000,188,60-64,4,3,1,9,4,5,
1995 to 2000,188,65-69,3,2,1,5,3,2,
1995 to 2000,188,70-74,1,0,1,1,0,1,
1995 to 2000,188,75-79,0,0,0,1,1,0,
1995 to 2000,188,80-84,2,1,1,2,1,1,
1995 to 2000,188,85-89,1,0,1,1,0,1,
1995 to 2000,188,90+,0,0,0,1,1,0,
1995 to 2000,195,Total,311,165,146,377,199,178,
1995 to 2000,195,0-4,30,13,17,34,17,17,
1995 to 2000,195,5-9,23,12,11,27,13,14,
1995 to 2000,195,10-14,23,11,12,29,15,14,
1995 to 2000,195,15-19,18,8,10,30,13,17,
1995 to 2000,195,20-24,25,14,11,48,24,24,
1995 to 2000,195,25-29,42,22,20,33,18,15,
1995 to 2000,195,30-34,36,22,14,31,18,13,
1995 to 2000,195,35-39,29,15,14,39,22,17,
1995 to 2000,195,40-44,27,15,12,29,15,14,
1995 to 2000,195,45-49,22,12,10,31,20,11,
1995 to 2000,195,50-54,16,11,5,20,11,9,
1995 to 2000,195,55-59,7,4,3,9,5,4,
1995 to 2000,195,60-64,5,3,2,6,3,3,
1995 to 2000,195,65-69,2,1,1,4,3,1,
1995 to 2000,195,70-74,2,1,1,4,1,3,
1995 to 2000,195,75-79,2,1,1,2,1,1,
1995 to 2000,195,80-84,1,0,1,1,0,1,
1995 to 2000,195,85-89,0,0,0,0,0,0,
1995 to 2000,195,90+,1,0,1,0,0,0,
1995 to 2000,198,Total,744,416,328,952,525,427,
1995 to 2000,198,0-4,71,35,36,80,41,39,
1995 to 2000,198,5-9,66,35,31,82,44,38,
1995 to 2000,198,10-14,52,28,24,73,37,36,
1995 to 2000,198,15-19,59,33,26,93,50,43,
1995 to 2000,198,20-24,60,33,27,103,57,46,
1995 to 2000,198,25-29,72,39,33,75,39,36,
1995 to 2000,198,30-34,67,37,30,84,46,38,
1995 to 2000,198,35-39,74,43,31,74,44,30,
1995 to 2000,198,40-44,67,39,28,70,43,27,
1995 to 2000,198,45-49,54,33,21,64,36,28,
1995 to 2000,198,50-54,34,21,13,54,30,24,
1995 to 2000,198,55-59,27,16,11,37,22,15,
1995 to 2000,198,60-64,19,11,8,27,17,10,
1995 to 2000,198,65-69,10,7,3,18,10,8,
1995 to 2000,198,70-74,6,4,2,9,5,4,
1995 to 2000,198,75-79,3,2,1,2,1,1,
1995 to 2000,198,80-84,1,0,1,6,3,3,
1995 to 2000,198,85-89,1,0,1,1,0,1,
1995 to 2000,198,90+,1,0,1,0,0,0,
1995 to 2000,220,Total,867,447,420,943,497,446,
1995 to 2000,220,0-4,78,34,44,89,46,43,
1995 to 2000,220,5-9,66,33,33,76,38,38,
1995 to 2000,220,10-14,55,27,28,64,32,32,
1995 to 2000,220,15-19,55,28,27,68,35,33,
1995 to 2000,220,20-24,93,43,50,110,53,57,
1995 to 2000,220,25-29,108,56,52,100,53,47,
1995 to 2000,220,30-34,93,49,44,97,52,45,
1995 to 2000,220,35-39,86,51,35,89,52,37,
1995 to 2000,220,40-44,72,39,33,71,39,32,
1995 to 2000,220,45-49,57,31,26,59,31,28,
1995 to 2000,220,50-54,34,17,17,41,22,19,
1995 to 2000,220,55-59,26,14,12,30,18,12,
1995 to 2000,220,60-64,13,9,4,18,11,7,
1995 to 2000,220,65-69,12,7,5,11,6,5,
1995 to 2000,220,70-74,7,4,3,5,2,3,
1995 to 2000,220,75-79,4,2,2,6,3,3,
1995 to 2000,220,80-84,3,1,2,3,1,2,
1995 to 2000,220,85-89,2,1,1,2,1,1,
1995 to 2000,220,90+,3,1,2,4,2,2,
1995 to 2000,230,Total,107,58,49,88,45,43,
1995 to 2000,230,0-4,6,3,3,4,2,2,
1995 to 2000,230,5-9,6,2,4,5,2,3,
1995 to 2000,230,10-14,6,4,2,5,3,2,
1995 to 2000,230,15-19,3,2,1,7,5,2,
1995 to 2000,230,20-24,12,4,8,13,6,7,
1995 to 2000,230,25-29,19,10,9,7,3,4,
1995 to 2000,230,30-34,12,7,5,8,4,4,
1995 to 2000,230,35-39,11,7,4,8,4,4,
1995 to 2000,230,40-44,8,4,4,8,3,5,
1995 to 2000,230,45-49,11,7,4,8,4,4,
1995 to 2000,230,50-54,7,4,3,5,3,2,
1995 to 2000,230,55-59,4,2,2,5,3,2,
1995 to 2000,230,60-64,2,2,0,2,2,0,
1995 to 2000,230,65-69,0,0,0,2,1,1,
1995 to 2000,230,70-74,0,0,0,0,0,0,
1995 to 2000,230,75-79,0,0,0,0,0,0,
1995 to 2000,230,80-84,0,0,0,1,0,1,
1995 to 2000,230,85-89,0,0,0,0,0,0,
1995 to 2000,230,90+,0,0,0,0,0,0,
1995 to 2000,240,Total,714,377,337,847,453,394,
1995 to 2000,240,0-4,81,42,39,67,37,30,
1995 to 2000,240,5-9,79,39,40,77,42,35,
1995 to 2000,240,10-14,67,36,31,76,39,37,
1995 to 2000,240,15-19,51,27,24,98,52,46,
1995 to 2000,240,20-24,56,28,28,100,57,43,
1995 to 2000,240,25-29,59,31,28,64,34,30,
1995 to 2000,240,30-34,67,36,31,58,29,29,
1995 to 2000,240,35-39,62,34,28,73,38,35,
1995 to 2000,240,40-44,57,31,26,64,33,31,
1995 to 2000,240,45-49,43,24,19,56,33,23,
1995 to 2000,240,50-54,33,19,14,44,24,20,
1995 to 2000,240,55-59,22,13,9,30,16,14,
1995 to 2000,240,60-64,17,10,7,17,10,7,
1995 to 2000,240,65-69,8,3,5,8,4,4,
1995 to 2000,240,70-74,4,2,2,6,1,5,
1995 to 2000,240,75-79,5,2,3,4,3,1,
1995 to 2000,240,80-84,1,0,1,2,1,1,
1995 to 2000,240,85-89,1,0,1,0,0,0,
1995 to 2000,240,90+,1,0,1,3,0,3,
1995 to 2000,275,Total,254,137,117,340,181,159,
1995 to 2000,275,0-4,24,11,13,31,15,16,
1995 to 2000,275,5-9,24,12,12,24,13,11,
